,Player,FPTS,value,pos
1,Todd Gurley,276.3,88.11666666666667,rb
2,Le'Veon Bell,270.0,81.81666666666666,rb
3,Ezekiel Elliott,252.9,64.71666666666667,rb
4,David Johnson,249.0,60.81666666666666,rb
5,Antonio Brown,207.4,56.10833333333335,wr
6,Aaron Rodgers,325.4,43.708333333333314,qb
7,DeAndre Hopkins,190.0,38.70833333333334,wr
8,Julio Jones,186.2,34.90833333333333,wr
9,Alvin Kamara,219.4,31.21666666666667,rb
10,Kareem Hunt,213.6,25.416666666666657,rb
11,Odell Beckham Jr.,176.2,24.90833333333333,wr
12,Melvin Gordon,212.2,24.01666666666665,rb
13,Tom Brady,305.3,23.60833333333335,qb
14,Leonard Fournette,210.6,22.416666666666657,rb
15,Saquon Barkley,207.3,19.116666666666674,rb
16,Russell Wilson,300.4,18.708333333333314,qb
17,Michael Thomas,167.3,16.008333333333354,wr
18,Keenan Allen,167.0,15.708333333333343,wr
19,Dalvin Cook,201.1,12.916666666666657,rb
20,A.J. Green,162.5,11.208333333333343,wr
21,Davante Adams,162.2,10.908333333333331,wr
22,Cam Newton,290.6,8.90833333333336,qb
23,Mike Evans,155.0,3.708333333333343,wr
24,Devonta Freeman,190.5,2.316666666666663,rb
25,Drew Brees,281.6,-0.09166666666664014,qb
26,Deshaun Watson,281.1,-0.5916666666666401,qb
27,T.Y. Hilton,149.2,-2.0916666666666686,wr
28,Tyreek Hill,149.1,-2.191666666666663,wr
29,Carson Wentz,276.4,-5.291666666666686,qb
30,Doug Baldwin,145.6,-5.691666666666663,wr
31,Adam Thielen,142.8,-8.491666666666646,wr
32,Stefon Diggs,141.9,-9.391666666666652,wr
33,Amari Cooper,141.0,-10.291666666666657,wr
34,Christian McCaffrey,175.3,-12.883333333333326,rb
35,Matthew Stafford,267.5,-14.191666666666663,qb
36,Jerick McKinnon,173.5,-14.683333333333337,rb
37,Kirk Cousins,266.4,-15.291666666666686,qb
38,Jordan Howard,171.9,-16.28333333333333,rb
39,Demaryius Thomas,134.4,-16.89166666666665,wr
40,JuJu Smith-Schuster,133.5,-17.791666666666657,wr
41,Alshon Jeffery,133.4,-17.89166666666665,wr
42,Josh Gordon,133.1,-18.191666666666663,wr
43,Ben Roethlisberger,263.3,-18.39166666666665,qb
44,Alex Smith,262.8,-18.89166666666665,qb
45,Brandin Cooks,131.5,-19.791666666666657,wr
46,Larry Fitzgerald,131.0,-20.291666666666657,wr
47,Allen Robinson,130.9,-20.39166666666665,wr
48,Marvin Jones,130.2,-21.09166666666667,wr
49,Golden Tate,129.6,-21.691666666666663,wr
50,Andrew Luck,259.5,-22.191666666666663,qb
51,Matt Ryan,257.8,-23.89166666666665,qb
52,Jimmy Garoppolo,257.7,-23.991666666666674,qb
53,Philip Rivers,257.4,-24.291666666666686,qb
54,LeSean McCoy,162.7,-25.48333333333335,rb
55,Joe Mixon,162.4,-25.78333333333333,rb
56,Chris Hogan,123.5,-27.791666666666657,wr
57,Dak Prescott,252.7,-28.991666666666674,qb
58,Jared Goff,251.8,-29.89166666666665,qb
59,Sammy Watkins,121.0,-30.291666666666657,wr
60,Devin Funchess,119.8,-31.49166666666666,wr
61,Michael Crabtree,119.6,-31.691666666666663,wr
62,Marcus Mariota,249.1,-32.59166666666667,qb
63,Patrick Mahomes,248.9,-32.79166666666666,qb
64,Jarvis Landry,118.4,-32.89166666666665,wr
65,Blake Bortles,248.1,-33.59166666666667,qb
66,Derrick Henry,154.2,-33.98333333333335,rb
67,Alex Collins,152.6,-35.58333333333334,rb
68,Pierre Garcon,115.5,-35.79166666666666,wr
69,Derrius Guice,152.0,-36.18333333333334,rb
70,Randall Cobb,114.5,-36.79166666666666,wr
71,Robby Anderson,113.7,-37.591666666666654,wr
72,Marquise Goodwin,112.9,-38.39166666666665,wr
73,Emmanuel Sanders,112.1,-39.19166666666666,wr
74,Jay Ajayi,148.2,-39.98333333333335,rb
75,Robert Woods,111.2,-40.091666666666654,wr
76,Kenyan Drake,146.8,-41.383333333333326,rb
77,Cooper Kupp,108.9,-42.39166666666665,wr
78,Lamar Miller,145.5,-42.68333333333334,rb
79,Corey Davis,107.9,-43.39166666666665,wr
80,Kenny Stills,106.1,-45.19166666666666,wr
81,Rishard Matthews,106.1,-45.19166666666666,wr
82,Will Fuller,104.7,-46.591666666666654,wr
83,Marqise Lee,103.9,-47.39166666666665,wr
84,Devante Parker,103.8,-47.49166666666666,wr
85,Jamison Crowder,102.9,-48.39166666666665,wr
86,Nelson Agholor,102.5,-48.79166666666666,wr
87,Mitch Trubisky,232.6,-49.09166666666667,qb
88,Jordy Nelson,101.4,-49.89166666666665,wr
89,Mark Ingram,136.9,-51.28333333333333,rb
90,Sterling Shepard,99.1,-52.19166666666666,wr
91,Ryan Tannehill,229.5,-52.19166666666666,qb
92,Andy Dalton,229.5,-52.19166666666666,qb
93,Kelvin Benjamin,98.3,-52.99166666666666,wr
94,Case Keenum,228.3,-53.39166666666665,qb
95,Derek Carr,227.9,-53.79166666666666,qb
96,Eli Manning,226.6,-55.09166666666667,qb
97,Tyrell Williams,95.7,-55.591666666666654,wr
98,Julian Edelman,95.4,-55.89166666666665,wr
99,Kenny Golladay,95.1,-56.19166666666666,wr
100,DeSean Jackson,94.7,-56.591666666666654,wr
101,Tevin Coleman,131.5,-56.68333333333334,rb
102,Royce Freeman,131.1,-57.08333333333334,rb
103,Mohamed Sanu,93.7,-57.591666666666654,wr
104,Josh Doctson,91.9,-59.39166666666665,wr
105,Allen Hurns,90.9,-60.39166666666665,wr
106,Marshawn Lynch,127.5,-60.68333333333334,rb
107,Ted Ginn,90.3,-60.99166666666666,wr
108,Tyrod Taylor,220.7,-60.991666666666674,qb
109,Marlon Mack,127.0,-61.18333333333334,rb
110,Tyler Lockett,89.6,-61.69166666666666,wr
111,Rex Burkhead,126.4,-61.78333333333333,rb
112,Dion Lewis,125.7,-62.483333333333334,rb
113,Rashaad Penny,125.4,-62.78333333333333,rb
114,Ronald Jones II,122.1,-66.08333333333334,rb
115,Isaiah Crowell,121.6,-66.58333333333334,rb
116,Martavis Bryant,83.2,-68.09166666666665,wr
117,Cameron Meredith,81.7,-69.59166666666665,wr
118,Jameis Winston,212.1,-69.59166666666667,qb
119,Calvin Ridley,81.0,-70.29166666666666,wr
120,Paul Richardson,77.0,-74.29166666666666,wr
121,Danny Amendola,76.6,-74.69166666666666,wr
122,Quincy Enunwa,76.3,-74.99166666666666,wr
123,Mike Wallace,76.0,-75.29166666666666,wr
124,D.J. Moore,75.9,-75.39166666666665,wr
125,Chris Thompson,110.4,-77.78333333333333,rb
126,Jamaal Williams,110.0,-78.18333333333334,rb
127,John Brown,72.4,-78.89166666666665,wr
128,Carlos Hyde,108.7,-79.48333333333333,rb
129,Jermaine Kearse,71.3,-79.99166666666666,wr
130,Terrance Williams,71.0,-80.29166666666666,wr
131,Courtland Sutton,70.5,-80.79166666666666,wr
132,Chris Godwin,70.1,-81.19166666666666,wr
133,John Ross,69.7,-81.59166666666665,wr
134,Keelan Cole,69.0,-82.29166666666666,wr
135,Sony Michel,105.7,-82.48333333333333,rb
136,Travis Benjamin,68.4,-82.89166666666665,wr
137,Mike Williams,68.0,-83.29166666666666,wr
138,Ryan Grant,67.4,-83.89166666666665,wr
139,Donte Moncrief,67.2,-84.09166666666665,wr
140,Michael Gallup,66.9,-84.39166666666665,wr
141,Dede Westbrook,66.7,-84.59166666666665,wr
142,Anthony Miller,66.4,-84.89166666666665,wr
143,Duke Johnson,102.6,-85.58333333333334,rb
144,Joe Flacco,195.8,-85.89166666666665,qb
145,Tre'Quan Smith,65.1,-86.19166666666666,wr
146,Kerryon Johnson,101.6,-86.58333333333334,rb
147,Devontae Booker,99.4,-88.78333333333333,rb
148,Eric Decker,62.5,-88.79166666666666,wr
149,Corey Coleman,62.4,-88.89166666666665,wr
150,Brandon Marshall,59.6,-91.69166666666666,wr
151,Cole Beasley,59.3,-91.99166666666666,wr
152,Albert Wilson,58.9,-92.39166666666665,wr
153,Geronimo Allison,58.7,-92.59166666666665,wr
154,Tarik Cohen,95.4,-92.78333333333333,rb
155,Terrelle Pryor,57.3,-93.99166666666666,wr
156,Ty Montgomery,93.5,-94.68333333333334,rb
157,J.J. Nelson,56.1,-95.19166666666666,wr
158,Bilal Powell,92.6,-95.58333333333334,rb
159,Willie Snead,55.6,-95.69166666666666,wr
160,C.J. Anderson,91.6,-96.58333333333334,rb
161,Chester Rogers,54.5,-96.79166666666666,wr
162,James White,90.7,-97.48333333333333,rb
163,Adam Humphries,53.1,-98.19166666666666,wr
164,James Washington,52.2,-99.09166666666665,wr
165,Christian Kirk,51.7,-99.59166666666665,wr
166,Trent Taylor,51.2,-100.09166666666665,wr
167,Giovani Bernard,87.5,-100.68333333333334,rb
168,Antonio Callaway,50.4,-100.89166666666665,wr
169,Kendall Wright,49.6,-101.69166666666666,wr
170,Brice Butler,49.5,-101.79166666666666,wr
171,Matt Breida,86.3,-101.88333333333334,rb
172,Taylor Gabriel,48.7,-102.59166666666665,wr
173,Corey Clement,84.8,-103.38333333333334,rb
174,Taywan Taylor,47.6,-103.69166666666666,wr
175,Zay Jones,46.8,-104.49166666666666,wr
176,Nick Chubb,82.8,-105.38333333333334,rb
177,Frank Gore,82.5,-105.68333333333334,rb
178,Jaron Brown,45.2,-106.09166666666665,wr
179,Latavius Murray,81.3,-106.88333333333334,rb
180,Tyler Boyd,44.2,-107.09166666666665,wr
181,Chris Ivory,80.7,-107.48333333333333,rb
182,Doug Martin,80.0,-108.18333333333334,rb
183,D'Onta Foreman,79.5,-108.68333333333334,rb
184,Torrey Smith,42.6,-108.69166666666666,wr
185,Theo Riddick,78.4,-109.78333333333333,rb
186,Chris Carson,78.1,-110.08333333333334,rb
187,Austin Ekeler,76.6,-111.58333333333334,rb
188,Kenny Britt,39.5,-111.79166666666666,wr
189,TJ Jones,39.3,-111.99166666666666,wr
190,Nyheim Hines,76.1,-112.08333333333334,rb
191,Dante Pettis,39.2,-112.09166666666665,wr
192,Seth Roberts,38.6,-112.69166666666666,wr
193,Tavon Austin,37.5,-113.79166666666666,wr
194,Javorius Allen,73.5,-114.68333333333334,rb
195,Chad Williams,36.4,-114.89166666666665,wr
196,Aaron Jones,72.1,-116.08333333333334,rb
197,Deon Cain,34.8,-116.49166666666666,wr
198,Keke Coutee,34.1,-117.19166666666666,wr
199,Cordarrelle Patterson,34.0,-117.29166666666666,wr
200,Cody Latimer,33.8,-117.49166666666666,wr
201,Laquon Treadwell,33.8,-117.49166666666666,wr
202,Bruce Ellington,33.5,-117.79166666666666,wr
203,Curtis Samuel,33.4,-117.89166666666665,wr
204,Peyton Barber,69.6,-118.58333333333334,rb
205,Chris Conley,32.5,-118.79166666666666,wr
206,LeGarrette Blount,68.3,-119.88333333333334,rb
207,Justin Hardy,31.2,-120.09166666666665,wr
208,Mack Hollins,31.0,-120.29166666666666,wr
209,Phillip Dorsett,30.2,-121.09166666666665,wr
210,D.J. Chark,29.3,-121.99166666666666,wr
211,Aldrick Robinson,29.1,-122.19166666666666,wr
212,Jeremy Kerley,28.4,-122.89166666666665,wr
213,Braxton Miller,28.3,-122.99166666666666,wr
214,Kevin White,24.8,-126.49166666666666,wr
215,J'Mon Moore,23.4,-127.89166666666665,wr
216,DaeSean Hamilton,23.1,-128.19166666666666,wr
217,Bennie Fowler,23.0,-128.29166666666666,wr
218,Deonte Thompson,22.8,-128.49166666666665,wr
219,T.J. Yeldon,59.6,-128.58333333333334,rb
220,Roger Lewis,22.6,-128.69166666666666,wr
221,Chris Moore,22.5,-128.79166666666666,wr
222,Andre Holmes,22.2,-129.09166666666667,wr
223,Eli Rogers,22.2,-129.09166666666667,wr
224,Russell Shepard,21.3,-129.99166666666665,wr
225,Kenneth Dixon,57.9,-130.28333333333333,rb
226,Darren Sproles,57.6,-130.58333333333334,rb
227,Josh Reynolds,20.6,-130.69166666666666,wr
228,Demarcus Robinson,20.1,-131.19166666666666,wr
229,Breshad Perriman,19.7,-131.59166666666667,wr
230,Daurice Fountain,19.7,-131.59166666666667,wr
231,Spencer Ware,56.5,-131.68333333333334,rb
232,Brian Quick,19.1,-132.19166666666666,wr
233,Brandon Coleman,18.0,-133.29166666666666,wr
234,Jakeem Grant,17.9,-133.39166666666665,wr
235,Kamar Aiken,17.5,-133.79166666666666,wr
