Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS
Jacksonville Jaguars,47.3,17.6,10.9,17.4,4.4,1,0,"4,841.60",132.6
Philadelphia Eagles,37.9,16.6,11.8,18.9,4,0.5,0,"5,135.70",119.4
Baltimore Ravens,38.2,17.2,11.7,17.6,3.9,0,0,"5,121.40",119.3
Los Angeles Rams,44,16.2,10.5,16.3,3.4,0.5,0,"5,514.30",118.9
Los Angeles Chargers,42,16,10.6,15.5,3.5,0.5,0,"5,348.70",117.3
Minnesota Vikings,42.3,15.5,9.6,13.1,3.6,0.5,0,"4,899.20",115.5
Denver Broncos,39.7,14.7,10.4,13.6,4,0.5,0,"4,791.30",114.8
Houston Texans,42,14.2,10.4,13.8,3.7,0,0,"5,419.40",113.1
Carolina Panthers,43.3,13.1,11.6,18.7,3.1,0.5,0,"5,400.40",112.2
Pittsburgh Steelers,42.2,14.2,9.7,13.4,3,0,0,"5,405.30",108.2
New Orleans Saints,35.7,16.2,9.4,13.5,3.3,0,0,"5,694.70",106.8
Seattle Seahawks,37.2,14.2,10.6,15.5,3.1,0.5,0,"5,241.70",106.5
Arizona Cardinals,37,13.7,10.4,17.4,3.3,0.5,0,"5,040.00",105.8
Kansas City Chiefs,32.3,14.9,11.2,16.5,3.3,0.5,0,"5,883.70",105.2
New England Patriots,39.8,14.3,9,11.8,2.9,0.5,0,"5,839.00",104.7
Detroit Lions,33.6,14.4,10.3,15.5,3.2,1,0,"5,640.60",103.9
Chicago Bears,40,11.2,11,16.5,3,0,0,"5,391.30",102.7
Green Bay Packers,40.3,12,10.2,15.1,2.7,0.5,0,"5,608.60",102.2
Washington Redskins,38.1,14.6,8.6,14.1,2.9,0,0,"5,607.40",102
Tennessee Titans,38.4,13.4,9.6,14.6,2.8,0.5,0,"5,248.70",101.9
Atlanta Falcons,35.3,12.3,11.1,18.3,3.3,0,0,"5,563.70",101.7
Tampa Bay Buccaneers,28.7,14,11.4,18.3,3.2,0.5,0,"6,056.10",99.7
Dallas Cowboys,35.1,11.9,11.3,18.3,2.6,0,0,"5,458.00",96.9
Buffalo Bills,31.7,15.6,8,12.6,2.8,0,0,"5,536.80",95.5
Cincinnati Bengals,36.7,13.9,7.1,9.6,2.5,0,0,"5,579.60",93.7
Miami Dolphins,33.4,11.9,8.6,13.8,2.6,0.5,0,"5,556.40",91
New York Giants,30.4,12.9,8.8,14.7,2.4,0.5,0,"5,853.70",88.9
San Francisco 49ers,29.8,11.4,9.5,13.6,2.2,0.5,0,"5,678.60",85.9
Oakland Raiders,30.8,10.5,10,17,2.1,0.5,0,"5,845.50",85.4
New York Jets,32.4,11.8,9.3,14,1.7,0,0,"5,577.80",84.7
Cleveland Browns,31.8,10.9,7.5,12.7,1.9,0,0,"5,586.30",79.9
Indianapolis Colts,28.5,11.2,7.8,14.4,2,0.5,0,"5,922.60",79.8
