"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Aaron Rodgers","GB","588.8","377.9","4,157.1","34.1","9.0","58.9","321.0","2.1","1.9","325.4"
"Tom Brady","NE","587.7","387.5","4,599.7","33.5","8.8","27.7","34.5","0.9","2.0","305.3"
"Russell Wilson","SEA","533.7","328.6","3,829.8","26.4","12.1","91.2","507.4","3.2","2.0","300.4"
"Cam Newton","CAR","512.3","299.6","3,473.2","22.5","14.4","121.8","631.8","5.1","1.6","290.6"
"Drew Brees","NO","570.7","392.5","4,484.6","29.2","12.7","26.7","54.4","1.5","1.8","281.6"
"Deshaun Watson","HOU","508.8","308.2","3,693.8","26.1","16.0","76.2","450.3","3.4","2.2","281.1"
"Carson Wentz","PHI","526.4","324.5","3,815.4","27.5","10.6","67.5","279.6","1.9","2.2","276.4"
"Matthew Stafford","DET","574.3","372.0","4,295.3","26.7","12.2","34.8","129.4","1.0","2.6","267.5"
"Kirk Cousins","MIN","548.6","358.6","4,096.3","25.6","13.4","49.1","158.8","2.6","2.4","266.4"
"Ben Roethlisberger","PIT","574.8","368.2","4,364.7","28.2","15.0","23.6","49.4","0.7","1.7","263.3"
"Alex Smith","WAS","532.8","343.1","3,926.8","23.5","9.0","58.0","265.4","1.7","3.5","262.8"
"Andrew Luck","IND","535.6","335.8","3,866.1","25.5","15.1","55.5","265.0","1.7","1.9","259.5"
"Matt Ryan","ATL","549.0","359.6","4,245.9","25.2","12.1","34.4","112.5","0.7","1.9","257.8"
"Jimmy Garoppolo","SF","571.1","368.4","4,296.2","24.1","12.6","39.8","100.8","1.5","2.2","257.7"
"Philip Rivers","LAC","569.4","354.9","4,303.1","28.2","13.7","19.0","29.2","0.2","2.1","257.4"
"Dak Prescott","DAL","499.5","311.7","3,479.1","21.8","12.7","59.4","333.0","3.8","2.3","252.7"
"Jared Goff","LAR","534.8","325.4","3,943.7","27.0","10.9","29.5","67.7","1.1","2.7","251.8"
