"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Todd Gurley","LAR","289.0","1,298.2","11.0","66.2","621.8","3.7","1.8","276.3"
"Le'Veon Bell","PIT","305.5","1,322.8","9.7","83.2","666.7","2.8","2.1","270.0"
"Ezekiel Elliott","DAL","312.0","1,401.2","11.0","41.3","374.7","1.9","1.2","252.9"
"David Johnson","ARI","278.3","1,091.9","8.5","76.1","752.0","3.2","2.9","249.0"
"Alvin Kamara","NO","167.2","835.4","7.2","74.5","702.7","4.0","0.8","219.4"
"Kareem Hunt","KC","250.1","1,126.2","8.0","52.9","427.0","2.2","1.5","213.6"
"Melvin Gordon","LAC","273.9","1,077.8","7.5","55.0","460.4","2.5","0.7","212.2"
"Leonard Fournette","JAC","290.7","1,173.7","9.5","38.1","311.3","1.2","0.8","210.6"
"Saquon Barkley","NYG","256.5","1,104.4","7.3","55.3","428.4","2.1","1.2","207.3"
"Dalvin Cook","MIN","262.1","1,127.6","7.4","45.3","363.2","1.8","1.6","201.1"
"Devonta Freeman","ATL","220.8","966.0","7.9","45.1","383.8","1.8","1.4","190.5"
"Christian McCaffrey","CAR","158.8","636.2","3.7","76.0","663.1","4.2","0.9","175.3"
"Jerick McKinnon","SF","213.5","856.1","5.8","57.6","451.6","1.9","1.7","173.5"
"Jordan Howard","CHI","248.7","1,044.9","7.5","26.9","195.5","0.8","0.8","171.9"
"LeSean McCoy","BUF","209.5","890.9","5.2","44.5","345.4","1.6","0.9","162.7"
"Joe Mixon","CIN","230.3","899.5","6.3","37.5","310.4","1.1","1.7","162.4"
"Derrick Henry","TEN","211.8","907.9","6.8","20.3","182.5","1.0","0.8","154.2"
"Alex Collins","BAL","224.4","949.2","6.1","28.0","209.2","0.8","2.3","152.6"
"Derrius Guice","WAS","214.0","893.4","6.7","25.7","207.0","0.9","1.6","152.0"
"Jay Ajayi","PHI","221.5","953.1","5.7","26.1","184.7","0.8","2.1","148.2"
"Kenyan Drake","MIA","185.9","800.5","5.2","41.4","309.7","1.2","1.3","146.8"
"Lamar Miller","HOU","210.9","823.8","4.2","35.7","291.5","1.8","0.9","145.5"
"Mark Ingram","NO","156.3","720.0","6.1","33.4","247.2","1.2","1.6","136.9"
"Tevin Coleman","ATL","148.5","614.0","4.5","33.1","316.1","2.1","0.6","131.5"
"Royce Freeman","DEN","182.6","754.2","4.7","31.9","246.0","1.0","1.5","131.1"
"Marshawn Lynch","OAK","178.8","757.6","6.1","19.7","144.3","0.4","0.9","127.5"
"Marlon Mack","IND","165.0","645.6","4.7","29.5","266.5","1.5","0.6","127.0"
"Rex Burkhead","NE","121.5","527.7","5.5","34.7","291.8","2.1","0.6","126.4"
"Dion Lewis","TEN","138.4","626.3","3.8","41.9","312.7","1.8","1.2","125.7"
"Rashaad Penny","SEA","172.8","709.3","4.6","27.9","218.9","1.2","1.0","125.4"
"Ronald Jones II","TB","189.9","751.0","4.2","27.7","209.2","0.7","1.4","122.1"
"Isaiah Crowell","NYJ","181.1","715.2","4.4","29.3","211.1","0.7","0.9","121.6"
"Chris Thompson","WAS","74.6","315.6","2.0","55.1","518.7","3.1","1.8","110.4"
"Jamaal Williams","GB","138.3","569.8","4.0","25.0","225.1","1.3","0.6","110.0"
"Carlos Hyde","CLE","155.6","646.8","4.5","27.1","174.1","0.5","1.7","108.7"
"Sony Michel","NE","132.7","549.4","4.9","24.0","188.6","0.7","0.9","105.7"
"Duke Johnson","CLE","68.0","293.7","2.0","58.4","519.7","2.0","1.4","102.6"
"Kerryon Johnson","DET","143.8","566.9","3.8","27.5","200.4","0.8","1.2","101.6"
"Devontae Booker","DEN","130.6","520.4","2.9","32.9","269.0","0.9","1.2","99.4"
"Tarik Cohen","CHI","86.0","347.8","1.8","56.4","422.6","1.7","1.4","95.4"
"Ty Montgomery","GB","82.0","349.4","2.8","42.7","327.0","1.7","0.6","93.5"
"Bilal Powell","NYJ","120.7","495.0","3.3","28.6","208.1","0.7","0.8","92.6"
"C.J. Anderson","CAR","136.4","562.9","3.9","12.9","105.1","0.5","0.7","91.6"
"James White","NE","58.8","236.0","1.9","49.4","389.3","2.9","0.5","90.7"
"Giovani Bernard","CIN","89.7","372.4","1.9","36.8","315.7","1.5","0.9","87.5"
"Matt Breida","SF","106.8","460.1","3.0","22.9","186.7","0.9","0.8","86.3"
"Corey Clement","PHI","88.8","366.7","3.4","23.4","216.6","1.3","0.8","84.8"
"Nick Chubb","CLE","121.4","512.0","3.5","14.5","109.9","0.3","1.3","82.8"
"Frank Gore","MIA","113.0","446.9","2.4","25.6","195.8","0.9","0.8","82.5"
"Latavius Murray","MIN","118.4","469.5","3.6","16.2","117.3","0.4","0.7","81.3"
"Chris Ivory","BUF","116.4","461.0","3.0","20.0","149.6","0.7","1.4","80.7"
"Doug Martin","OAK","124.4","456.1","3.6","15.4","126.0","0.3","1.1","80.0"
"D'Onta Foreman","HOU","122.9","476.2","3.2","14.1","119.5","0.5","1.1","79.5"
"Theo Riddick","DET","59.0","219.2","1.3","48.7","385.4","2.0","0.8","78.4"
"Chris Carson","SEA","104.1","418.5","2.7","19.3","163.3","0.9","0.8","78.1"
"Austin Ekeler","LAC","83.2","339.0","2.2","29.1","253.9","1.6","2.7","76.6"
"Nyheim Hines","IND","83.3","327.3","2.1","31.8","250.3","1.2","0.7","76.1"
"Javorius Allen","BAL","90.5","353.6","2.4","30.4","197.9","0.8","0.5","73.5"
"Aaron Jones","GB","94.3","420.1","3.3","14.0","92.8","0.4","0.6","72.1"
"Peyton Barber","TB","105.7","425.5","2.8","13.1","98.1","0.3","0.9","69.6"
"LeGarrette Blount","DET","104.9","419.0","3.7","6.7","46.6","0.2","0.8","68.3"
