"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Rob Gronkowski","NE","74.0","1,083.7","9.3","0.2","164.0"
"Travis Kelce","KC","82.6","999.4","6.7","0.1","139.7"
"Zach Ertz","PHI","76.4","847.9","6.5","0.5","122.6"
"Greg Olsen","CAR","63.8","773.4","5.2","0.2","108.5"
"Evan Engram","NYG","67.7","757.4","5.4","0.3","107.4"
"Jimmy Graham","GB","62.1","655.4","7.1","0.5","107.0"
"Delanie Walker","TEN","66.7","760.6","5.0","1.1","103.9"
"Kyle Rudolph","MIN","60.5","618.8","6.2","0.2","98.8"
"Jordan Reed","WAS","60.5","616.4","4.5","0.4","87.9"
"Jack Doyle","IND","64.1","607.5","4.8","1.1","87.1"
"Trey Burton","CHI","53.0","596.4","4.2","0.2","84.7"
"George Kittle","SF","47.8","547.6","4.2","0.2","79.6"
"David Njoku","CLE","46.4","543.7","4.3","0.2","79.6"
"Tyler Eifert","CIN","43.5","487.1","4.8","0.2","77.3"
"Cameron Brate","TB","44.1","526.9","4.1","0.2","76.7"
"Jared Cook","OAK","46.6","560.1","3.5","0.7","75.9"
"Charles Clay","BUF","52.5","558.3","3.1","0.2","74.2"
"O.J. Howard","TB","38.5","510.1","4.0","1.8","71.6"
"Eric Ebron","IND","45.5","486.9","3.8","0.5","70.7"
"Vance McDonald","PIT","40.7","486.5","3.7","0.1","70.4"
"Austin Hooper","ATL","44.1","485.7","3.6","0.2","69.7"
"Ricky Seals-Jones","ARI","37.4","457.0","4.0","0.3","69.0"
"Benjamin Watson","NO","45.1","458.1","3.8","0.2","68.4"
"Austin Seferian-Jenkins","JAC","45.2","475.2","3.3","0.6","66.2"
"Mike Gesicki","MIA","39.5","409.0","2.9","0.4","57.6"
"Hayden Hurst","BAL","37.7","369.2","2.7","0.3","52.7"
"Vernon Davis","WAS","32.2","399.0","2.5","1.4","52.1"
"Virgil Green","LAC","30.3","336.0","2.6","0.2","48.8"
"Luke Willson","DET","31.1","315.8","2.8","0.2","48.1"
"Ed Dickson","SEA","27.1","320.5","2.3","0.2","45.7"
"Jake Butt","DEN","29.5","316.2","2.4","0.5","44.8"
"Garrett Celek","SF","23.4","285.2","2.7","0.2","44.3"
"Jesse James","PIT","30.7","296.6","2.3","0.2","43.0"
"Ryan Griffin","HOU","28.9","311.2","2.0","0.7","41.5"
"Tyler Higbee","LAR","26.5","287.3","2.1","0.3","40.8"
"Blake Jarwin","DAL","25.1","258.8","2.4","0.3","39.3"
"Tyler Kroft","CIN","25.4","255.0","2.4","0.3","39.2"
"Nick Vannett","SEA","24.7","250.6","2.3","0.2","38.6"
"Jonnu Smith","TEN","25.4","258.8","2.1","0.2","38.1"
"Gerald Everett","LAR","21.8","245.0","2.2","0.7","36.5"
"Dallas Goedert","PHI","21.8","228.3","2.2","0.3","35.3"
"Stephen Anderson","HOU","20.8","247.2","1.6","0.2","34.1"
"Jermaine Gresham","ARI","25.2","244.4","1.3","0.2","31.9"
"Marcedes Lewis","GB","16.5","178.7","2.3","0.2","31.0"
"Mark Andrews","BAL","23.3","216.9","1.5","0.2","30.3"
"Adam Shaheen","CHI","17.9","194.4","1.8","0.1","30.2"
"Nick O'Leary","BUF","19.5","238.5","1.2","0.7","29.5"
"Jeff Heuerman","DEN","17.3","195.9","1.4","0.2","27.4"
"Jordan Leggett","NYJ","17.6","182.7","1.3","0.3","25.7"
"Demetrius Harris","KC","16.0","167.4","1.3","0.1","24.2"
"Seth DeValve","CLE","14.3","156.8","1.2","0.2","22.8"
"Nick Boyle","BAL","18.7","160.0","1.1","0.1","22.4"
"Rico Gathers","DAL","14.3","151.5","1.1","0.0","21.9"
"Clive Walford","NYJ","15.3","153.3","1.1","0.1","21.8"
"Josh Hill","NO","16.5","156.2","1.3","1.4","21.0"
"Braedon Bowman","LAC","12.3","137.3","1.2","0.0","20.9"
"Chris Herndon IV","NYJ","14.7","150.0","1.0","0.3","20.7"
