"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Antonio Brown","PIT","104.7","1,468.5","10.1","0.2","1.1","0.0","0.1","207.4"
"DeAndre Hopkins","HOU","93.5","1,330.1","9.7","0.0","0.0","0.0","0.6","190.0"
"Julio Jones","ATL","94.0","1,453.0","6.7","0.9","6.4","0.0","0.1","186.2"
"Odell Beckham Jr.","NYG","96.6","1,260.3","8.3","2.3","14.1","0.0","0.5","176.2"
"Michael Thomas","NO","99.5","1,235.6","7.3","0.3","1.0","0.0","0.2","167.3"
"Keenan Allen","LAC","95.6","1,250.5","7.0","1.0","5.2","0.0","0.2","167.0"
"A.J. Green","CIN","85.6","1,191.2","7.6","0.0","0.0","0.0","1.2","162.5"
"Davante Adams","GB","84.6","1,075.6","9.2","0.0","0.0","0.0","0.2","162.2"
"Mike Evans","TB","80.5","1,129.0","7.1","0.0","0.0","0.0","0.2","155.0"
"T.Y. Hilton","IND","72.1","1,110.1","6.6","0.0","0.0","0.0","0.7","149.2"
"Tyreek Hill","KC","75.5","989.2","6.0","15.5","93.5","0.9","0.3","149.1"
"Doug Baldwin","SEA","79.4","1,030.2","7.0","1.8","8.2","0.0","0.2","145.6"
"Adam Thielen","MIN","81.9","1,104.4","5.7","1.3","6.8","0.0","1.3","142.8"
"Stefon Diggs","MIN","77.0","994.7","6.5","5.5","29.6","0.1","0.2","141.9"
"Amari Cooper","OAK","76.5","1,021.0","6.5","1.0","6.0","0.0","0.3","141.0"
"Demaryius Thomas","DEN","84.2","1,010.2","5.9","0.0","0.0","0.0","0.9","134.4"
"JuJu Smith-Schuster","PIT","66.2","907.9","7.1","0.3","1.3","0.0","0.1","133.5"
"Alshon Jeffery","PHI","63.0","897.7","7.3","0.0","0.0","0.0","0.2","133.4"
"Josh Gordon","CLE","66.7","980.8","5.9","0.5","2.9","0.0","0.3","133.1"
"Brandin Cooks","LAR","61.2","897.5","6.1","6.6","37.8","0.4","0.3","131.5"
"Larry Fitzgerald","ARI","96.9","999.3","5.5","0.1","0.2","0.0","0.8","131.0"
"Allen Robinson","CHI","68.7","958.7","5.9","0.3","1.0","0.0","0.2","130.9"
"Marvin Jones","DET","60.3","914.6","6.6","0.0","-0.1","0.0","0.3","130.2"
"Golden Tate","DET","89.9","989.5","5.0","4.6","21.9","0.0","0.8","129.6"
"Chris Hogan","NE","58.9","836.4","6.4","2.2","14.1","0.1","0.2","123.5"
"Sammy Watkins","KC","60.5","862.5","5.8","0.3","1.1","0.0","0.1","121.0"
"Devin Funchess","CAR","58.8","837.2","6.1","0.0","-0.1","0.0","0.2","119.8"
"Michael Crabtree","BAL","74.5","828.9","6.2","0.0","0.1","0.0","0.1","119.6"
"Jarvis Landry","CLE","87.1","915.2","5.0","0.9","4.6","0.0","1.8","118.4"
"Pierre Garcon","SF","72.5","922.5","3.9","0.1","0.3","0.0","0.2","115.5"
"Randall Cobb","GB","74.5","771.2","5.5","7.5","40.8","0.1","0.2","114.5"
